question,source,retrieved_doc_ids
What is the purpose of the MLflow Model Registry?,['model-registry.html'],"['model-registry.html', 'introduction/index.html', 'introduction/index.html', 'deep-learning/index.html']"
What is the purpose of registering a model with the Model Registry?,['model-registry.html'],"['model-registry.html', 'models.html', 'introduction/index.html', 'introduction/index.html']"
What can you do with registered models and model versions?,['model-registry.html'],"['model-registry.html', 'models.html', 'deployment/deploy-model-to-kubernetes/index.html', 'deployment/index.html']"
"How can you add, modify, update, or delete a model in the Model Registry?",['model-registry.html'],"['model-registry.html', 'models.html', 'deployment/deploy-model-to-kubernetes/index.html', 'introduction/index.html']"
How can you deploy and organize models in the Model Registry?,['model-registry.html'],"['model-registry.html', 'deployment/index.html', 'deployment/index.html', 'models.html']"
What is the purpose of the mlflow.sklearn.log_model() method?,['model-registry.html'],"['models.html', 'getting-started/intro-quickstart/index.html', 'deployment/deploy-model-to-kubernetes/index.html', 'getting-started/quickstart-1/index.html']"
What method do you use to create a new registered model?,['model-registry.html'],"['model-registry.html', 'models.html', 'deployment/deploy-model-to-kubernetes/index.html', 'getting-started/quickstart-2/index.html']"
How can you deploy and organize models in the Model Registry?,['model-registry.html'],"['model-registry.html', 'deployment/index.html', 'deployment/index.html', 'models.html']"
How can you fetch a specific model version?,['model-registry.html'],"['models.html', 'model-registry.html', 'deployment/deploy-model-to-kubernetes/index.html', 'getting-started/quickstart-2/index.html']"
How can you fetch the latest model version in a specific stage?,['model-registry.html'],"['models.html', 'model-registry.html', 'deployment/deploy-model-to-kubernetes/index.html', 'llms/prompt-engineering/index.html']"
What can you do to promote MLflow Models across environments?,['model-registry.html'],"['deployment/index.html', 'deployment/index.html', 'models.html', 'getting-started/quickstart-2/index.html']"
How can you fetch a list of registered models in the MLflow registry?,['model-registry.html'],"['model-registry.html', 'models.html', 'getting-started/quickstart-2/index.html', 'tutorials-and-examples/index.html']"
What is the name of the model and its version details?,['model-registry.html'],"['models.html', 'model-registry.html', 'new-features/index.html', 'getting-started/quickstart-2/index.html']"
What is the purpose of saving the model in pickled format?,['model-registry.html'],"['models.html', 'deployment/deploy-model-to-kubernetes/index.html', 'model-registry.html', 'deployment/index.html']"
What is an MLflow Model and what is its purpose?,['models.html'],"['introduction/index.html', 'introduction/index.html', 'deployment/index.html', 'deployment/index.html']"
What are the flavors defined in the MLmodel file for the mlflow.sklearn library?,['models.html'],"['community-model-flavors.html', 'models.html', 'traditional-ml/creating-custom-pyfunc/index.html', 'deployment/deploy-model-to-kubernetes/index.html']"
What command can be used to package and deploy models to AWS SageMaker?,['models.html'],"['deployment/index.html', 'deployment/index.html', 'deployment/deploy-model-to-kubernetes/index.html', 'models.html']"
What is the default channel logged for models using MLflow v1.18 and above?,['models.html'],"['models.html', 'tracking.html', 'new-features/index.html', 'python_api/index.html']"
